StationID,BenSampID,RepNum,Collection Date,Sample Comments,Collected By,Field Team,Entered By,Taxonomist,Entered Date,Gradient,Target Count,Season
2-JKS023.61,JKS1154R110,1,2010-05-05T10:30:00Z,NA,GEORGEJ DEVLIN,"RDM, GJD",GJD,GEORGEJ DEVLIN,2020-07-30T17:19:54Z,Riffle,110,Spring
2-JKS023.61,JKS1352,1,2010-08-23T11:00:00Z,NA,GEORGEJ DEVLIN,"GD, MH",RDM,RICHARD (DREW)D MILLER,2020-07-30T17:19:54Z,Riffle,200,Fall
2-JKS023.61,JKS4150R110,1,2012-10-11T10:45:00Z,NA,RICHARD (DREW)D MILLER,RDM,RDM,RICHARD (DREW)D MILLER,2013-06-25T00:00:00Z,Riffle,110,Fall
2-JKS023.61,JKS1352R110,1,2010-08-23T11:00:00Z,NA,GEORGEJ DEVLIN,"GD, MH",RDM,RICHARD (DREW)D MILLER,2020-07-30T17:19:54Z,Riffle,110,Fall
2-JKS023.61,JKS1154,1,2010-05-05T10:30:00Z,NA,GEORGEJ DEVLIN,"RDM, GJD",GJD,GEORGEJ DEVLIN,2020-07-30T17:19:54Z,Riffle,200,Spring
2-JKS023.61,JKS7821,1,2015-08-25T11:30:00Z,NA,GEORGEJ DEVLIN,GJD,GJD,GEORGEJ DEVLIN,2016-03-15T00:00:00Z,Riffle,200,Fall
2-JKS023.61,FAMJKS10207,1,2002-05-23T11:30:00Z,NA,MARYV RUMMEL (DAIL),"MVR,MH",GJD,GEORGEJ DEVLIN,2003-02-19T00:00:00Z,Riffle,110,Spring
2-JKS023.61,JKS6211R110,1,2014-08-26T11:25:00Z,NA,RICHARD (DREW)D MILLER,GJD,GJD,GEORGEJ DEVLIN,2014-12-16T00:00:00Z,Riffle,110,Fall
2-JKS023.61,JKS9493R110,1,2016-11-02T14:30:00Z,NA,RICHARD (DREW)D MILLER,RDM,RDM,RICHARD (DREW)D MILLER,2017-08-18T00:00:00Z,Riffle,110,Fall
2-JKS023.61,JKS2219R110,1,2011-08-23T09:45:00Z,NA,GEORGEJ DEVLIN,RDM,GJD,GEORGEJ DEVLIN,2012-03-16T00:00:00Z,Riffle,110,Fall
2-JKS023.61,JKS4150,1,2012-10-11T10:45:00Z,NA,RICHARD (DREW)D MILLER,RDM,RDM,RICHARD (DREW)D MILLER,2013-04-03T00:00:00Z,Riffle,200,Fall
2-JKS023.61,JKS4690,1,2013-08-22T11:30:00Z,NA,GEORGEJ DEVLIN,"GD, BS",GJD,GEORGEJ DEVLIN,2013-12-16T00:00:00Z,Riffle,200,Fall
2-JKS023.61,FAMJKS5522,1,2008-11-04T11:55:00Z,NA,RICHARD (DREW)D MILLER,"rdm,jrh",RDM,RICHARD (DREW)D MILLER,2009-04-14T00:00:00Z,Riffle,110,Fall
2-JKS023.61,FAMJKS1558,1,2000-11-02T10:40:00Z,NA,MARYV RUMMEL (DAIL),"GD, MR",GJD,GEORGEJ DEVLIN,2001-01-29T00:00:00Z,Riffle,110,Fall
2-JKS023.61,JKS2219,1,2011-08-23T09:45:00Z,NA,GEORGEJ DEVLIN,RDM,GJD,GEORGEJ DEVLIN,2012-02-10T00:00:00Z,Riffle,200,Fall
2-JKS023.61,JKS10471,1,2017-08-23T09:30:00Z,NA,GEORGEJ DEVLIN,GJD,RDM,RICHARD (DREW)D MILLER,2018-04-06T00:00:00Z,Riffle,200,Fall
2-JKS023.61,JKS4690R110,1,2013-08-22T11:30:00Z,NA,GEORGEJ DEVLIN,"GD, BS",GJD,GEORGEJ DEVLIN,2013-12-19T00:00:00Z,Riffle,110,Fall
2-JKS023.61,JKS10471R110,1,2017-08-23T09:30:00Z,NA,GEORGEJ DEVLIN,GJD,RDM,RICHARD (DREW)D MILLER,2018-04-30T00:00:00Z,Riffle,110,Fall
2-JKS023.61,JKS6211,1,2014-08-26T11:25:00Z,NA,RICHARD (DREW)D MILLER,GJD,GJD,GEORGEJ DEVLIN,2014-12-10T00:00:00Z,Riffle,200,Fall
2-JKS023.61,FAMJKS846,1,1997-05-12T09:50:00Z,NA,STORET CONVERSION STORET CONVERSION,Dr. L. D. Willis,LDW,LAWRENCED WILLIS,1999-04-30T00:00:00Z,Riffle,110,Spring
2-JKS023.61,FAMJKS1600,1,2001-05-01T11:10:00Z,NA,MARYV RUMMEL (DAIL),"GJD, MVR",GJD,GEORGEJ DEVLIN,2001-09-27T00:00:00Z,Riffle,110,Spring
2-JKS023.61,FAMJKS528,1,1996-05-13T12:00:00Z,NA,LAWRENCED WILLIS,Dr. L.D. Willis,LDW,LAWRENCED WILLIS,1999-04-30T00:00:00Z,Riffle,110,Spring
2-JKS023.61,FAMJKS1667,1,2001-12-18T13:50:00Z,NA,GEORGEJ DEVLIN,GD,MVR,MARYV RUMMEL (DAIL),2002-01-31T00:00:00Z,Riffle,110,Outside Sample Window
2-JKS023.61,FAMJKS1387,1,1999-03-08T15:30:00Z,NA,GEORGEJ DEVLIN,GJD,GJD,GEORGEJ DEVLIN,1999-06-22T00:00:00Z,Riffle,110,Spring
2-JKS023.61,FAMJKS374,1,1995-12-04T11:30:00Z,NA,LAWRENCED WILLIS,Dr. L. D. Willis,LDW,LAWRENCED WILLIS,1999-04-30T00:00:00Z,Riffle,110,Fall
2-JKS023.61,FAMJKS1477,1,1999-11-30T10:30:00Z,NA,GEORGEJ DEVLIN,GJD,GJD,GEORGEJ DEVLIN,2000-03-16T00:00:00Z,Riffle,110,Fall
2-JKS023.61,FAMJKS735,1,1996-11-06T12:00:00Z,NA,LAWRENCED WILLIS,Dr. L. D. Willis,LDW,LAWRENCED WILLIS,1999-04-30T00:00:00Z,Riffle,110,Fall
2-JKS023.61,FAMJKS1028,1,1997-10-07T09:30:00Z,NA,LAWRENCED WILLIS,Dr. L. D. Willis,LDW,LAWRENCED WILLIS,1999-04-30T00:00:00Z,Riffle,110,Fall
2-JKS023.61,FAMJKS4567,1,2007-10-12T10:30:00Z,NA,MIKEL HUTCHISON,"mlh,jrh",MLH,MIKEL HUTCHISON,2007-12-11T00:00:00Z,Riffle,110,Fall
2-JKS023.61,JKS9493,1,2016-11-02T14:30:00Z,NA,RICHARD (DREW)D MILLER,RDM,RDM,RICHARD (DREW)D MILLER,2017-08-14T00:00:00Z,Riffle,200,Fall
2-JKS023.61,FAMJKS2972,1,2003-10-15T12:00:00Z,NA,GEORGEJ DEVLIN,"GD,MD",GJD,GEORGEJ DEVLIN,2004-06-23T00:00:00Z,Riffle,110,Fall
2-JKS023.61,FAMJKS4339,1,2007-05-11T13:00:00Z,NA,JASONR HILL,"JRH, RDM",JRH,JASONR HILL,2007-08-16T00:00:00Z,Riffle,110,Spring
2-JKS023.61,FAMJKS3320,1,2004-11-01T12:15:00Z,NA,GEORGEJ DEVLIN,"GJD, JRH",MVR,MARYV RUMMEL (DAIL),2005-03-07T00:00:00Z,Riffle,110,Fall
2-JKS023.61,FAMJKS1331,1,1998-11-24T10:00:00Z,NA,GEORGEJ DEVLIN,GJD,GJD,GEORGEJ DEVLIN,1999-04-30T00:00:00Z,Riffle,110,Fall
